batch_number,report_year,company_name,apiary_number,location,gross_weight_kg,drum_weight_kg,net_weight_kg,beshara_kg,production_kg,num_production_hives,production_per_hive_kg,num_hive_supers,harvest_date,efficiency_ratio,waste_percentage,extraction_date
API7005,2024,MANAHIL LLC,41 - Ajman,Ajman,41.0,107.3,15.6,91.7,3.0,88.7,41.0,2.16,2024-12-14,262.8205128205128,223.65853658536588,2025-05-28
API7005,2024,MANAHIL LLC,85 - Dubai,Dubai,85.0,625.2,19.8,605.4,2.8,602.6,49.0,12.3,2024-11-20,247.47474747474746,712.2352941176471,2025-05-28
API7005,2024,MANAHIL LLC,36 - Al farfar,Al farfar,36.0,222.1,22.1,200.0,2.9,197.1,34.0,5.8,2025-02-06,153.84615384615384,555.5555555555555,2025-05-28
API7005,2024,MANAHIL LLC,20 - Sharjah,Sharjah,20.0,265.9,11.0,254.9,2.7,252.2,85.0,2.97,2025-03-25,772.7272727272727,1274.5,2025-05-28
API7005,2024,MANAHIL LLC,61 - Ras Al Khaimah,Ras Al Khaimah,61.0,273.8,17.4,256.4,2.6,253.8,40.0,6.35,2023-11-25,229.8850574712644,420.32786885245895,2025-05-28
PRD7608,2024,MANAHIL LLC,33 - Ajman,Ajman,33.0,256.0,29.2,226.8,2.8,224.0,68.0,3.29,2025-05-25,232.87671232876713,687.2727272727273,2025-05-28
PRD7608,2024,MANAHIL LLC,76 - Al Hajar,Unknown,76.0,545.5,21.0,524.5,3.0,521.5,17.0,30.68,2024-03-24,80.95238095238095,690.1315789473684,2025-05-28
PRD7608,2024,MANAHIL LLC,32 - Umm Al Quwain,Umm Al Quwain,32.0,381.9,34.5,347.4,2.5,344.9,103.0,3.35,2023-05-30,298.5507246376811,1085.625,2025-05-28
PRD7608,2024,MANAHIL LLC,57 - Ajman,Ajman,57.0,257.7,23.5,234.2,2.7,231.5,67.0,3.46,2023-06-13,285.1063829787234,410.8771929824561,2025-05-28
PRD7608,2024,MANAHIL LLC,05 - Sharjah,Sharjah,5.0,310.4,23.6,286.8,2.7,284.1,25.0,11.36,2023-10-26,105.93220338983049,5736.0,2025-05-28
PRD7608,2024,MANAHIL LLC,17 - Dibba,Dibba,17.0,582.3,5.0,577.3,2.8,574.5,79.0,7.27,2024-08-16,1580.0,3395.882352941176,2025-05-28
PRD7608,2024,MANAHIL LLC,91 - Masafi,Masafi,91.0,364.0,33.1,330.9,2.4,328.5,60.0,5.47,2024-10-26,181.2688821752266,363.6263736263736,2025-05-28
PRD7608,2024,MANAHIL LLC,26 - Al farfar,Al farfar,26.0,393.2,9.1,384.1,2.8,381.3,48.0,7.94,2023-07-28,527.4725274725274,1477.3076923076924,2025-05-28
PRD7608,2024,MANAHIL LLC,35 - Al farfar,Al farfar,35.0,226.2,9.9,216.3,2.7,213.6,107.0,2.0,2024-11-05,1080.8080808080808,618.0000000000001,2025-05-28
PRD7608,2024,MANAHIL LLC,79 - Abu Dhabi,Abu Dhabi,79.0,536.4,14.0,522.4,2.6,519.8,73.0,7.12,2024-02-04,521.4285714285714,661.2658227848101,2025-05-28
PRD7608,2024,MANAHIL LLC,28 - Hatta,Hatta,28.0,606.3,9.8,596.5,2.9,593.6,59.0,10.06,2024-09-10,602.0408163265306,2130.3571428571427,2025-05-28
PRD7608,2024,MANAHIL LLC,96 - Abu Dhabi,Abu Dhabi,96.0,211.7,32.1,179.6,2.8,176.8,75.0,2.36,2023-07-09,233.6448598130841,187.08333333333334,2025-05-28
PRD7608,2024,MANAHIL LLC,76 - Hatta,Hatta,76.0,498.2,34.4,463.8,2.8,461.0,97.0,4.75,2025-03-08,281.9767441860465,610.2631578947369,2025-05-28
PRD7608,2024,MANAHIL LLC,89 - Khor Fakkan,Khor Fakkan,89.0,304.7,22.0,282.7,2.9,279.8,36.0,7.77,2024-07-22,163.63636363636365,317.6404494382022,2025-05-28
PRD7608,2024,MANAHIL LLC,86 - Al farfar,Al farfar,86.0,595.6,12.1,583.5,2.6,580.9,85.0,6.83,2023-09-15,702.4793388429753,678.4883720930233,2025-05-28
BTH8670,2024,MANAHIL LLC,24 - Masafi,Masafi,24.0,394.7,5.2,389.5,2.4,387.1,65.0,5.96,2023-09-04,1250.0,1622.9166666666667,2025-05-28
BTH8670,2024,MANAHIL LLC,94 - Abu Dhabi,Abu Dhabi,94.0,626.0,5.8,620.2,2.4,617.8,109.0,5.67,2025-02-25,1879.310344827586,659.7872340425533,2025-05-28
BTH8670,2024,MANAHIL LLC,25 - Al Hajar,Unknown,25.0,408.7,13.2,395.5,2.6,392.9,120.0,3.27,2024-02-21,909.0909090909091,1582.0,2025-05-28
BTH8670,2024,MANAHIL LLC,28 - Al Hajar,Unknown,28.0,292.9,12.5,280.4,2.7,277.7,112.0,2.48,2024-03-04,896.0000000000001,1001.4285714285714,2025-05-28
BTH8670,2024,MANAHIL LLC,14 - Fujairah,Fujairah,14.0,453.0,17.4,435.6,2.7,432.9,53.0,8.17,2025-05-11,304.59770114942535,3111.4285714285716,2025-05-28
BTH8670,2024,MANAHIL LLC,75 - Khor Fakkan,Khor Fakkan,75.0,471.4,7.4,464.0,3.1,460.9,42.0,10.97,2023-06-22,567.5675675675675,618.6666666666666,2025-05-28
BTH8670,2024,MANAHIL LLC,43 - Kalba,Kalba,43.0,482.0,32.0,450.0,3.1,446.9,81.0,5.52,2024-12-29,253.125,1046.5116279069769,2025-05-28
BTH8670,2024,MANAHIL LLC,12 - Dubai,Dubai,12.0,354.4,24.8,329.6,2.6,327.0,98.0,3.34,2024-09-29,395.16129032258067,2746.666666666667,2025-05-28
BTH8670,2024,MANAHIL LLC,14 - Fujairah,Fujairah,14.0,570.3,32.2,538.1,2.4,535.7,70.0,7.65,2023-09-04,217.39130434782606,3843.571428571429,2025-05-28
BTH8670,2024,MANAHIL LLC,59 - Dubai,Dubai,59.0,268.1,34.9,233.2,2.8,230.4,52.0,4.43,2024-06-01,148.99713467048713,395.2542372881356,2025-05-28
BTH8670,2024,MANAHIL LLC,31 - Ajman,Ajman,31.0,281.7,22.7,259.0,2.4,256.6,64.0,4.01,2024-11-29,281.93832599118946,835.483870967742,2025-05-28
BTH8670,2024,MANAHIL LLC,82 - Abu Dhabi,Abu Dhabi,82.0,613.6,22.6,591.0,2.6,588.4,80.0,7.35,2023-09-15,353.98230088495575,720.7317073170732,2025-05-28
PRD9497,2024,MANAHIL LLC,92 - Al farfar,Al farfar,92.0,306.0,23.1,282.9,3.0,279.9,32.0,8.75,2023-12-07,138.52813852813853,307.5,2025-05-28
PRD9497,2024,MANAHIL LLC,44 - Masafi,Masafi,44.0,405.4,25.2,380.2,2.8,377.4,73.0,5.17,2023-07-10,289.6825396825397,864.090909090909,2025-05-28
PRD9497,2024,MANAHIL LLC,11 - Dibba,Dibba,11.0,410.9,9.3,401.6,3.1,398.5,36.0,11.07,2023-06-21,387.09677419354836,3650.909090909091,2025-05-28
PRD9497,2024,MANAHIL LLC,90 - Umm Al Quwain,Umm Al Quwain,90.0,414.1,19.3,394.8,2.7,392.1,68.0,5.77,2024-12-13,352.3316062176166,438.6666666666667,2025-05-28
PRD9497,2024,MANAHIL LLC,56 - Sharjah,Sharjah,56.0,379.1,24.9,354.2,3.0,351.2,48.0,7.32,2023-07-14,192.7710843373494,632.5,2025-05-28
PRD9497,2024,MANAHIL LLC,51 - Ras Al Khaimah,Ras Al Khaimah,51.0,402.3,20.2,382.1,2.7,379.4,21.0,18.07,2024-03-03,103.96039603960396,749.2156862745098,2025-05-28
PRD9497,2024,MANAHIL LLC,82 - Ajman,Ajman,82.0,134.1,34.5,99.6,2.4,97.2,21.0,4.63,2025-01-25,60.86956521739131,121.46341463414633,2025-05-28
PRD9497,2024,MANAHIL LLC,61 - Dibba,Dibba,61.0,141.7,20.1,121.6,3.1,118.5,90.0,1.32,2024-01-05,447.7611940298507,199.34426229508196,2025-05-28
PRD9497,2024,MANAHIL LLC,23 - Masafi,Masafi,23.0,312.2,32.6,279.6,2.9,276.7,92.0,3.01,2023-10-21,282.2085889570552,1215.6521739130437,2025-05-28
PRD9497,2024,MANAHIL LLC,33 - Al farfar,Al farfar,33.0,89.7,33.6,56.1,3.1,53.0,75.0,0.71,2024-06-09,223.21428571428572,170.0,2025-05-28
PRD9497,2024,MANAHIL LLC,87 - Ras Al Khaimah,Ras Al Khaimah,87.0,593.0,18.1,574.9,2.9,572.0,102.0,5.61,2023-09-01,563.5359116022099,660.8045977011494,2025-05-28
PRD9497,2024,MANAHIL LLC,97 - Abu Dhabi,Abu Dhabi,97.0,493.9,22.2,471.7,2.8,468.9,78.0,6.01,2025-03-23,351.35135135135135,486.2886597938144,2025-05-28
PRD9497,2024,MANAHIL LLC,79 - Al farfar,Al farfar,79.0,328.3,20.7,307.6,2.7,304.9,50.0,6.1,2025-01-10,241.54589371980677,389.36708860759495,2025-05-28
PRD9497,2024,MANAHIL LLC,40 - Taweeh,Taweeh,40.0,299.6,7.9,291.7,3.1,288.6,88.0,3.28,2023-06-19,1113.9240506329113,729.25,2025-05-28
HNY6586,2024,MANAHIL LLC,39 - Ras Al Khaimah,Ras Al Khaimah,39.0,485.3,24.9,460.4,2.8,457.6,116.0,3.94,2025-05-18,465.86345381526104,1180.5128205128203,2025-05-28
HNY6586,2024,MANAHIL LLC,39 - Masafi,Masafi,39.0,207.3,11.5,195.8,2.5,193.3,106.0,1.82,2024-05-23,921.7391304347826,502.05128205128204,2025-05-28
HNY6586,2024,MANAHIL LLC,84 - Al farfar,Al farfar,84.0,359.7,12.9,346.8,2.4,344.4,81.0,4.25,2024-04-20,627.906976744186,412.8571428571429,2025-05-28
HNY6586,2024,MANAHIL LLC,33 - Fujairah,Fujairah,33.0,480.9,6.3,474.6,3.0,471.6,65.0,7.26,2024-09-03,1031.7460317460318,1438.1818181818182,2025-05-28
HNY6586,2024,MANAHIL LLC,75 - Khor Fakkan,Khor Fakkan,75.0,438.7,11.1,427.6,2.6,425.0,91.0,4.67,2025-05-14,819.8198198198199,570.1333333333333,2025-05-28
HNY6586,2024,MANAHIL LLC,87 - Al farfar,Al farfar,87.0,219.5,23.6,195.9,2.7,193.2,27.0,7.16,2024-10-24,114.40677966101693,225.17241379310343,2025-05-28
HNY6586,2024,MANAHIL LLC,67 - Ras Al Khaimah,Ras Al Khaimah,67.0,83.6,21.7,61.9,3.1,58.8,100.0,0.59,2024-02-09,460.82949308755764,92.38805970149254,2025-05-28
HNY6586,2024,MANAHIL LLC,66 - Abu Dhabi,Abu Dhabi,66.0,434.4,27.3,407.1,2.8,404.3,117.0,3.46,2023-08-04,428.57142857142856,616.8181818181819,2025-05-28
HNY6586,2024,MANAHIL LLC,73 - Al Hajar,Unknown,73.0,555.2,20.7,534.5,2.9,531.6,63.0,8.44,2024-05-10,304.34782608695656,732.1917808219177,2025-05-28
HNY6586,2024,MANAHIL LLC,77 - Hatta,Hatta,77.0,313.1,21.0,292.1,2.7,289.4,109.0,2.66,2025-01-23,519.047619047619,379.35064935064935,2025-05-28
HNY6586,2024,MANAHIL LLC,69 - Ajman,Ajman,69.0,293.7,8.5,285.2,2.6,282.6,59.0,4.79,2024-12-24,694.1176470588235,413.33333333333326,2025-05-28
HNY6586,2024,MANAHIL LLC,76 - Ajman,Ajman,76.0,169.8,28.9,140.9,2.6,138.3,72.0,1.92,2023-12-15,249.1349480968858,185.3947368421053,2025-05-28
HNY6586,2024,MANAHIL LLC,31 - Al Hajar,Unknown,31.0,373.0,24.4,348.6,2.8,345.8,101.0,3.42,2024-02-14,413.9344262295082,1124.516129032258,2025-05-28
HNY6586,2024,MANAHIL LLC,87 - Ajman,Ajman,87.0,400.8,27.3,373.5,3.0,370.5,45.0,8.23,2024-02-22,164.83516483516482,429.3103448275862,2025-05-28
SDR1150,2024,MANAHIL LLC,68 - Umm Al Quwain,Umm Al Quwain,68.0,424.7,18.2,406.5,3.1,403.4,117.0,3.45,2025-04-26,642.8571428571429,597.7941176470588,2025-05-28
SDR1150,2024,MANAHIL LLC,42 - Al Hajar,Unknown,42.0,102.8,7.2,95.6,2.7,92.9,23.0,4.04,2025-02-28,319.4444444444444,227.61904761904762,2025-05-28
SDR1150,2024,MANAHIL LLC,10 - Dubai,Dubai,10.0,343.3,21.6,321.7,3.1,318.6,35.0,9.1,2024-02-29,162.037037037037,3217.0,2025-05-28
SDR1150,2024,MANAHIL LLC,17 - Ajman,Ajman,17.0,480.8,13.4,467.4,3.1,464.3,57.0,8.15,2024-07-11,425.3731343283582,2749.411764705882,2025-05-28
SDR1150,2024,MANAHIL LLC,99 - Khor Fakkan,Khor Fakkan,99.0,453.2,14.2,439.0,2.7,436.3,31.0,14.07,2024-03-22,218.3098591549296,443.4343434343434,2025-05-28
SDR1150,2024,MANAHIL LLC,54 - Kalba,Kalba,54.0,503.0,9.0,494.0,3.1,490.9,107.0,4.59,2025-02-04,1188.888888888889,914.8148148148149,2025-05-28
SDR1150,2024,MANAHIL LLC,42 - Dibba,Dibba,42.0,399.2,8.1,391.1,2.6,388.5,94.0,4.13,2024-05-16,1160.4938271604938,931.1904761904761,2025-05-28
SDR1150,2024,MANAHIL LLC,45 - Kalba,Kalba,45.0,196.2,10.9,185.3,3.1,182.2,40.0,4.55,2024-07-12,366.9724770642202,411.7777777777778,2025-05-28
SDR1150,2024,MANAHIL LLC,48 - Kalba,Kalba,48.0,417.5,27.3,390.2,2.4,387.8,99.0,3.92,2025-02-28,362.6373626373626,812.9166666666666,2025-05-28
SDR1150,2024,MANAHIL LLC,38 - Taweeh,Taweeh,38.0,308.0,6.5,301.5,3.0,298.5,33.0,9.05,2023-09-23,507.6923076923077,793.421052631579,2025-05-28
SDR1150,2024,MANAHIL LLC,83 - Masafi,Masafi,83.0,632.6,27.7,604.9,3.1,601.8,112.0,5.37,2023-11-13,404.33212996389886,728.7951807228916,2025-05-28
SDR1150,2024,MANAHIL LLC,52 - Dibba,Dibba,52.0,290.4,12.9,277.5,3.0,274.5,75.0,3.66,2025-02-08,581.3953488372092,533.6538461538462,2025-05-28
SDR1150,2024,MANAHIL LLC,56 - Umm Al Quwain,Umm Al Quwain,56.0,564.4,25.8,538.6,2.8,535.8,94.0,5.7,2023-11-03,364.3410852713178,961.7857142857143,2025-05-28
SDR1150,2024,MANAHIL LLC,67 - Kalba,Kalba,67.0,178.2,11.4,166.8,2.5,164.3,91.0,1.81,2024-11-28,798.2456140350877,248.95522388059703,2025-05-28
API2600,2024,MANAHIL LLC,83 - Umm Al Quwain,Umm Al Quwain,83.0,349.3,25.3,324.0,2.8,321.2,101.0,3.18,2024-04-16,399.20948616600793,390.3614457831325,2025-05-28
API2600,2024,MANAHIL LLC,67 - Masafi,Masafi,67.0,182.2,25.1,157.1,3.0,154.1,32.0,4.82,2024-10-14,127.49003984063745,234.4776119402985,2025-05-28
API2600,2024,MANAHIL LLC,55 - Abu Dhabi,Abu Dhabi,55.0,597.3,10.3,587.0,2.9,584.1,40.0,14.6,2024-07-15,388.34951456310677,1067.2727272727273,2025-05-28
API2600,2024,MANAHIL LLC,03 - Dibba,Dibba,3.0,165.1,20.4,144.7,2.4,142.3,102.0,1.4,2023-09-26,500.0,4823.333333333333,2025-05-28
API2600,2024,MANAHIL LLC,86 - Sharjah,Sharjah,86.0,279.7,22.3,257.4,3.0,254.4,88.0,2.89,2024-04-11,394.6188340807175,299.30232558139534,2025-05-28
API2600,2024,MANAHIL LLC,25 - Sharjah,Sharjah,25.0,108.1,24.8,83.3,2.5,80.8,112.0,0.72,2025-01-31,451.6129032258064,333.2,2025-05-28
API2600,2024,MANAHIL LLC,13 - Ras Al Khaimah,Ras Al Khaimah,13.0,516.0,18.2,497.8,2.6,495.2,116.0,4.27,2024-11-10,637.3626373626374,3829.2307692307695,2025-05-28
API2600,2024,MANAHIL LLC,40 - Umm Al Quwain,Umm Al Quwain,40.0,472.4,23.5,448.9,3.1,445.8,111.0,4.02,2024-09-02,472.34042553191495,1122.25,2025-05-28
API2600,2024,MANAHIL LLC,36 - Dubai,Dubai,36.0,634.2,15.8,618.4,2.5,615.9,42.0,14.66,2025-05-22,265.82278481012656,1717.7777777777778,2025-05-28
API2600,2024,MANAHIL LLC,06 - Dubai,Dubai,6.0,119.4,26.7,92.7,2.9,89.8,80.0,1.12,2024-08-05,299.62546816479403,1545.0,2025-05-28
API2600,2024,MANAHIL LLC,36 - Abu Dhabi,Abu Dhabi,36.0,554.6,31.8,522.8,2.5,520.3,67.0,7.77,2023-09-18,210.69182389937106,1452.222222222222,2025-05-28
API2600,2024,MANAHIL LLC,73 - Al Hajar,Unknown,73.0,411.0,16.0,395.0,2.8,392.2,21.0,18.68,2023-08-22,131.25,541.0958904109589,2025-05-28
PRD9645,2024,MANAHIL LLC,98 - Sharjah,Sharjah,98.0,575.3,30.1,545.2,2.8,542.4,95.0,5.71,2024-09-04,315.6146179401993,556.3265306122449,2025-05-28
PRD9645,2024,MANAHIL LLC,45 - Kalba,Kalba,45.0,528.9,23.6,505.3,2.7,502.6,68.0,7.39,2023-08-11,288.135593220339,1122.888888888889,2025-05-28
PRD9645,2024,MANAHIL LLC,90 - Masafi,Masafi,90.0,254.5,22.0,232.5,2.5,230.0,57.0,4.04,2024-05-19,259.09090909090907,258.33333333333337,2025-05-28
PRD9645,2024,MANAHIL LLC,48 - Ajman,Ajman,48.0,620.7,15.5,605.2,2.4,602.8,63.0,9.57,2024-02-03,406.4516129032258,1260.8333333333335,2025-05-28
PRD9645,2024,MANAHIL LLC,36 - Umm Al Quwain,Umm Al Quwain,36.0,295.6,23.7,271.9,2.9,269.0,42.0,6.4,2024-10-28,177.21518987341773,755.2777777777777,2025-05-28
PRD9645,2024,MANAHIL LLC,23 - Hatta,Hatta,23.0,384.0,14.6,369.4,2.5,366.9,66.0,5.56,2025-01-04,452.054794520548,1606.0869565217392,2025-05-28
PRD9645,2024,MANAHIL LLC,17 - Umm Al Quwain,Umm Al Quwain,17.0,520.7,17.7,503.0,2.7,500.3,110.0,4.55,2023-07-27,621.4689265536723,2958.823529411765,2025-05-28
PRD9645,2024,MANAHIL LLC,58 - Taweeh,Taweeh,58.0,274.2,18.6,255.6,2.4,253.2,117.0,2.16,2024-04-14,629.0322580645161,440.68965517241384,2025-05-28
PRD9645,2024,MANAHIL LLC,96 - Sharjah,Sharjah,96.0,547.8,23.2,524.6,2.6,522.0,94.0,5.55,2024-07-14,405.1724137931035,546.4583333333334,2025-05-28
PRD9645,2024,MANAHIL LLC,19 - Umm Al Quwain,Umm Al Quwain,19.0,91.9,17.5,74.4,2.6,71.8,95.0,0.76,2024-06-07,542.8571428571429,391.5789473684211,2025-05-28
PRD9645,2024,MANAHIL LLC,37 - Ajman,Ajman,37.0,148.2,24.9,123.3,3.1,120.2,97.0,1.24,2024-02-06,389.55823293172693,333.2432432432432,2025-05-28
PRD9645,2024,MANAHIL LLC,20 - Umm Al Quwain,Umm Al Quwain,20.0,84.1,26.6,57.5,3.0,54.5,95.0,0.57,2024-09-22,357.1428571428571,287.5,2025-05-28
MNH5521,2024,MANAHIL LLC,20 - Taweeh,Taweeh,20.0,149.6,33.4,116.2,2.8,113.4,115.0,0.99,2023-11-15,344.311377245509,581.0,2025-05-28
MNH5521,2024,MANAHIL LLC,97 - Al farfar,Al farfar,97.0,554.7,25.4,529.3,3.1,526.2,19.0,27.69,2024-10-15,74.80314960629921,545.6701030927834,2025-05-28
MNH5521,2024,MANAHIL LLC,18 - Ajman,Ajman,18.0,478.3,34.1,444.2,2.7,441.5,30.0,14.72,2025-02-03,87.97653958944281,2467.777777777778,2025-05-28
MNH5521,2024,MANAHIL LLC,09 - Masafi,Masafi,9.0,469.9,8.7,461.2,2.4,458.8,67.0,6.85,2024-12-31,770.1149425287357,5124.444444444444,2025-05-28
MNH5521,2024,MANAHIL LLC,91 - Al Hajar,Unknown,91.0,506.8,28.6,478.2,2.6,475.6,106.0,4.49,2024-04-04,370.6293706293706,525.4945054945055,2025-05-28
MNH5521,2024,MANAHIL LLC,03 - Ajman,Ajman,3.0,265.4,11.0,254.4,2.6,251.8,74.0,3.4,2023-08-21,672.7272727272727,8480.0,2025-05-28
MNH5521,2024,MANAHIL LLC,37 - Ajman,Ajman,37.0,538.4,26.3,512.1,2.4,509.7,104.0,4.9,2023-06-04,395.43726235741445,1384.0540540540542,2025-05-28
MNH5521,2024,MANAHIL LLC,98 - Al Hajar,Unknown,98.0,349.2,29.4,319.8,2.5,317.3,64.0,4.96,2025-05-27,217.687074829932,326.32653061224494,2025-05-28
MNH5521,2024,MANAHIL LLC,83 - Abu Dhabi,Abu Dhabi,83.0,199.1,32.7,166.4,3.0,163.4,61.0,2.68,2023-06-20,186.54434250764524,200.4819277108434,2025-05-28
MNH5521,2024,MANAHIL LLC,77 - Khor Fakkan,Khor Fakkan,77.0,393.9,22.9,371.0,2.4,368.6,89.0,4.14,2024-04-17,388.646288209607,481.8181818181818,2025-05-28
MNH5521,2024,MANAHIL LLC,75 - Dibba,Dibba,75.0,518.6,34.1,484.5,2.6,481.9,116.0,4.15,2023-11-11,340.17595307917884,646.0,2025-05-28
MNH5521,2024,MANAHIL LLC,19 - Fujairah,Fujairah,19.0,283.3,31.8,251.5,3.1,248.4,20.0,12.42,2025-03-14,62.893081761006286,1323.6842105263158,2025-05-28
MNH5521,2024,MANAHIL LLC,71 - Masafi,Masafi,71.0,470.1,24.4,445.7,2.7,443.0,36.0,12.31,2024-03-23,147.54098360655738,627.7464788732394,2025-05-28
MNH5521,2024,MANAHIL LLC,30 - Sharjah,Sharjah,30.0,531.2,22.6,508.6,2.8,505.8,61.0,8.29,2025-04-25,269.91150442477874,1695.3333333333333,2025-05-28
PRD5400,2024,MANAHIL LLC,41 - Dubai,Dubai,41.0,490.6,32.0,458.6,3.0,455.6,64.0,7.12,2023-11-08,200.0,1118.5365853658536,2025-05-28
PRD5400,2024,MANAHIL LLC,12 - Dubai,Dubai,12.0,237.1,8.7,228.4,2.9,225.5,73.0,3.09,2024-10-25,839.080459770115,1903.3333333333335,2025-05-28
PRD5400,2024,MANAHIL LLC,64 - Umm Al Quwain,Umm Al Quwain,64.0,588.2,14.3,573.9,3.1,570.8,29.0,19.68,2023-10-06,202.7972027972028,896.71875,2025-05-28
PRD5400,2024,MANAHIL LLC,70 - Al farfar,Al farfar,70.0,164.9,34.0,130.9,2.5,128.4,67.0,1.92,2025-02-13,197.05882352941177,187.0,2025-05-28
PRD5400,2024,MANAHIL LLC,13 - Abu Dhabi,Abu Dhabi,13.0,448.0,26.9,421.1,2.8,418.3,56.0,7.47,2023-10-24,208.17843866171003,3239.2307692307695,2025-05-28
PRD5400,2024,MANAHIL LLC,06 - Al Hajar,Unknown,6.0,583.6,23.7,559.9,2.5,557.4,28.0,19.91,2023-10-31,118.14345991561181,9331.666666666666,2025-05-28
PRD5400,2024,MANAHIL LLC,77 - Fujairah,Fujairah,77.0,582.2,29.8,552.4,2.6,549.8,65.0,8.46,2023-11-26,218.12080536912754,717.4025974025974,2025-05-28
PRD5400,2024,MANAHIL LLC,18 - Sharjah,Sharjah,18.0,624.2,18.7,605.5,2.9,602.6,119.0,5.06,2023-11-17,636.3636363636364,3363.8888888888887,2025-05-28
PRD5400,2024,MANAHIL LLC,49 - Al Hajar,Unknown,49.0,495.5,12.8,482.7,2.8,479.9,120.0,4.0,2024-03-02,937.5,985.1020408163265,2025-05-28
PRD5400,2024,MANAHIL LLC,49 - Sharjah,Sharjah,49.0,433.8,9.8,424.0,2.4,421.6,120.0,3.51,2025-05-02,1224.4897959183672,865.3061224489796,2025-05-28
PRD5400,2024,MANAHIL LLC,74 - Taweeh,Taweeh,74.0,357.5,18.9,338.6,2.7,335.9,19.0,17.68,2024-01-25,100.52910052910053,457.5675675675676,2025-05-28
PRD5400,2024,MANAHIL LLC,77 - Al Hajar,Unknown,77.0,534.5,13.1,521.4,2.4,519.0,15.0,34.6,2025-05-05,114.50381679389314,677.1428571428571,2025-05-28
PRD2620,2024,MANAHIL LLC,19 - Fujairah,Fujairah,19.0,554.5,10.9,543.6,2.9,540.7,91.0,5.94,2025-05-28,834.8623853211009,2861.0526315789475,2025-05-28
PRD2620,2024,MANAHIL LLC,75 - Al Hajar,Unknown,75.0,459.5,33.8,425.7,2.7,423.0,34.0,12.44,2023-09-23,100.59171597633136,567.6,2025-05-28
PRD2620,2024,MANAHIL LLC,43 - Masafi,Masafi,43.0,194.7,14.0,180.7,2.8,177.9,82.0,2.17,2023-10-02,585.7142857142857,420.2325581395349,2025-05-28
PRD2620,2024,MANAHIL LLC,40 - Sharjah,Sharjah,40.0,397.6,29.6,368.0,2.4,365.6,47.0,7.78,2023-11-21,158.78378378378378,919.9999999999999,2025-05-28
PRD2620,2024,MANAHIL LLC,97 - Masafi,Masafi,97.0,375.6,34.0,341.6,3.0,338.6,49.0,6.91,2024-01-23,144.11764705882354,352.1649484536083,2025-05-28
PRD2620,2024,MANAHIL LLC,91 - Dibba,Dibba,91.0,311.1,25.9,285.2,3.0,282.2,103.0,2.74,2023-12-22,397.6833976833977,313.4065934065934,2025-05-28
PRD2620,2024,MANAHIL LLC,02 - Khor Fakkan,Khor Fakkan,2.0,593.0,17.3,575.7,2.4,573.3,87.0,6.59,2023-12-09,502.8901734104046,28785.000000000004,2025-05-28
PRD2620,2024,MANAHIL LLC,13 - Hatta,Hatta,13.0,115.4,34.0,81.4,2.9,78.5,90.0,0.87,2024-07-17,264.70588235294116,626.1538461538462,2025-05-28
PRD2620,2024,MANAHIL LLC,29 - Dibba,Dibba,29.0,140.4,28.1,112.3,3.0,109.3,106.0,1.03,2024-11-12,377.2241992882562,387.2413793103448,2025-05-28
PRD2620,2024,MANAHIL LLC,63 - Taweeh,Taweeh,63.0,463.4,27.7,435.7,2.6,433.1,111.0,3.9,2024-03-29,400.72202166064983,691.5873015873016,2025-05-28
PRD2620,2024,MANAHIL LLC,14 - Fujairah,Fujairah,14.0,399.4,20.5,378.9,2.6,376.3,93.0,4.05,2024-06-19,453.6585365853658,2706.428571428571,2025-05-28
PRD2620,2024,MANAHIL LLC,29 - Dubai,Dubai,29.0,354.7,30.3,324.4,2.5,321.9,73.0,4.41,2025-02-19,240.92409240924093,1118.6206896551723,2025-05-28
PRD2620,2024,MANAHIL LLC,12 - Sharjah,Sharjah,12.0,344.2,29.6,314.6,3.0,311.6,23.0,13.55,2024-11-20,77.7027027027027,2621.666666666667,2025-05-28
PRD2620,2024,MANAHIL LLC,63 - Fujairah,Fujairah,63.0,171.7,28.9,142.8,2.5,140.3,15.0,9.35,2024-10-23,51.90311418685122,226.6666666666667,2025-05-28
PRD9416,2024,MANAHIL LLC,38 - Fujairah,Fujairah,38.0,621.6,26.5,595.1,2.9,592.2,58.0,10.21,2023-05-30,218.86792452830187,1566.0526315789473,2025-05-28
PRD9416,2024,MANAHIL LLC,85 - Abu Dhabi,Abu Dhabi,85.0,188.1,12.4,175.7,2.5,173.2,112.0,1.55,2024-11-04,903.2258064516128,206.70588235294116,2025-05-28
PRD9416,2024,MANAHIL LLC,49 - Taweeh,Taweeh,49.0,631.4,24.0,607.4,3.1,604.3,45.0,13.43,2024-11-24,187.5,1239.591836734694,2025-05-28
PRD9416,2024,MANAHIL LLC,14 - Fujairah,Fujairah,14.0,324.4,15.2,309.2,3.0,306.2,120.0,2.55,2023-09-24,789.4736842105264,2208.5714285714284,2025-05-28
PRD9416,2024,MANAHIL LLC,37 - Ras Al Khaimah,Ras Al Khaimah,37.0,556.7,7.1,549.6,2.9,546.7,95.0,5.75,2023-08-28,1338.0281690140846,1485.4054054054054,2025-05-28
PRD9416,2024,MANAHIL LLC,16 - Ajman,Ajman,16.0,416.7,34.0,382.7,2.9,379.8,89.0,4.27,2024-03-14,261.7647058823529,2391.875,2025-05-28
